ID,kind,mean_hue,mean_sat,mean_val,edge_percent,fourth_LBP,eighth_LBP,Red percentage,Yellow percentage,Green percentage,circles_s
fun1113,fun,15.912424140256237,116.45351483479432,145.37346875702406,23.831198022027426,11591,3639,33.47364650038064,17.045064409714445,0.0477661845267416,4.0
fun1114,fun,15.5963430030105,117.02666444694164,145.37645149207142,23.785741041328507,11923,3668,34.18657397861498,17.352499337241156,0.0486023152375622,3.0
fun1115,fun,15.6343659507722,115.85569498069498,146.03767495173744,23.86884652509652,10945,3325,33.27837097987737,17.386780219956137,0.0480253573887012,3.0
fun1116,fun,15.547440306097736,119.7005698971602,146.2235352997207,24.327989538431734,9929,3243,34.41156228492774,17.00103234686855,0.1049552649690296,3.0
fun1117,fun,15.634004792571512,114.49791573061756,143.5853302381309,23.68953122659877,13045,4087,32.62275100029148,18.24902620631177,0.0900924772781472,3.0
fun1118,fun,15.746750812296924,114.1951262184454,143.35291177205698,23.86153461634592,12999,4143,32.42222693306481,18.49064603317611,0.0927447135513275,2.0
fun1119,fun,15.229535804246131,116.15048578625404,145.6690176322418,23.147894926232457,11519,3363,31.31644493044165,19.01464066581617,0.0592309094222708,3.0
fun1120,fun,15.80825642605516,113.78849940394068,144.21912211848854,22.45201387679655,12456,3557,31.11617441021214,17.56414429458966,0.0820820537495931,3.0
fun1121,fun,16.191548329952283,114.77960798879968,144.07935941026886,22.737792508357384,11574,3327,31.76499084124317,17.625686906762343,0.1967997335634376,2.0
fun1122,fun,16.09162099912636,115.92559764911444,144.43383369073146,23.52473989357477,10308,2990,30.82168543900122,18.61175193377663,0.0457999728592753,2.0
fun1123,fun,22.58487737788011,115.27275115513592,153.29525119376922,24.04073496005316,10290,3300,19.91993805907451,28.73169365599723,5.517025517684464,3.0
fun1124,fun,17.20199351930121,114.9996008265239,147.09622428853197,22.552127359819668,13740,4289,28.805422548348982,20.125614078726446,0.1156644487283129,2.0
fun1125,fun,18.259935409176773,112.0408384620072,147.2942051063311,21.61842666504174,13379,3916,29.436681561071364,18.345946225172405,0.1640106413203502,2.0
fun1126,fun,18.927020484844107,110.58485976131122,148.12253573708105,21.86615605091706,13288,4117,27.996582983769176,19.380092055437263,0.3391516109701521,2.0
fun1127,fun,18.896907860229287,114.13838449434272,146.71697429877364,23.402103054674424,12702,4377,30.40869046830496,17.788964694972513,0.3391402265350732,4.0
fun1128,fun,18.81385379061372,111.2425792218211,147.17130465302847,23.207480946650623,12764,4242,30.302669050930525,17.5150672229949,0.2980329823167097,3.0
fun1129,fun,18.799360791171683,110.88976662847494,146.23044081288066,22.91382741361636,13300,4357,30.03060053550937,18.09129159760296,0.3149305112839474,4.0
fun1130,fun,18.00120539443848,113.2235469626447,147.0685881370092,23.284401479890203,13536,4346,30.432428348360453,18.24913111368559,0.3059990933360197,1.0
fun1131,fun,18.388988950007302,107.97310519398336,146.96938129776566,23.25853088643333,13202,4179,29.515469042793224,18.636786620265912,0.1465957907886853,1.0
fun1132,fun,17.836072592345932,113.32689151582905,146.2723521156911,23.195300049948862,13374,4504,29.838790931989923,20.070528967254408,0.1070528967254408,3.0
fun1133,fun,17.43348143484946,112.36419655936368,146.96039999515745,23.76121354463021,13078,4294,29.59638968919711,19.948496978659392,0.0713903266107442,4.0
fun1134,fun,17.598576589988927,115.58058425171116,147.37789357105248,23.302892209372,8984,2780,17.425538533322964,30.120926977214403,0.1205381444902403,2.0
fun1135,fun,17.177613680528566,113.3295410380525,147.0088800951607,22.996384364437223,13648,4370,28.93568327964278,20.28383437604945,0.1007475217353449,3.0
fun1136,fun,16.8481109806156,115.20149540100236,147.31616219170436,21.894949823831062,13920,4071,27.627764127764127,21.538083538083537,0.0909090909090909,3.0
fun1137,fun,17.0616728004206,111.41272544403044,147.19601344092166,22.78327656753606,14150,4351,28.04728903383612,21.37478717536749,0.1199012014100381,4.0
fun1138,fun,17.23269863657734,115.13893982134462,147.69464033850494,22.92548189938881,13710,4288,27.09893280927386,23.09758949227593,0.0945297146695191,3.0
fun1139,fun,18.40264485818688,110.28259464565365,145.9854209649755,22.27124711029357,13083,4046,27.21158752796786,21.52642390778128,0.1530872597380506,2.0
fun1140,fun,16.615316604427694,117.61996998569086,147.19657045800906,22.92022941169628,13870,4193,26.156454644862453,25.42172967527122,0.1363787150913492,2.0
fun1141,fun,16.224069485519408,122.07428129912344,145.7215117363387,23.332800468920684,12104,3748,27.158677849596195,24.83770137052176,0.1470941827079473,2.0
fun1142,fun,16.226112362889047,119.09512962091762,147.23467947606903,23.19805878129101,13053,4002,25.80096324992148,25.45021463721076,0.1060098419013715,4.0
fun1143,fun,16.583248307207125,119.45260842487446,147.48782911736257,22.91862668451111,12173,3572,26.20502376103191,24.577110205928943,0.1159764652636343,2.0
fun1144,fun,15.889391569066849,116.06504305667131,148.27381506067397,22.853156314743565,11482,3459,27.20617894438054,22.61529497886072,0.0836607556358964,1.0
fun1145,fun,16.885010460448196,116.32981510451025,143.86114932996588,24.08164803890156,8320,2819,16.097374969896443,33.449064782853014,0.0280966524845468,2.0
fun1146,fun,16.78213374825556,120.6225277104955,147.4405447458334,24.50714617988162,9901,3301,27.939632771764384,23.69258832234861,0.0998089862504517,2.0
fun1147,fun,16.12542028801624,121.24018270633762,148.33142485567467,24.36084501681152,9815,3333,26.946493682693124,23.747986093445263,0.1729839735436275,2.0
fun1148,fun,16.414028210540422,119.45026300800752,148.67264716721948,23.7226521928502,9738,2962,27.185880829015545,23.10377086931491,0.1403281519861831,2.0
fun1149,fun,16.00777446907152,119.16206914997947,148.25941049553325,24.27203509209893,8939,2934,28.59492750851153,21.46627902528595,0.095635209058567,3.0
fun1150,fun,15.39860969536955,116.65549855455107,150.54011329645903,20.694149691693266,10163,2543,24.389768315813733,23.07269600978498,0.0691330012585751,1.0
fun1151,fun,16.732717953370226,118.66998548489522,148.0092080195954,23.50993377483444,6972,2238,23.79808870374908,25.332026464101936,0.0539083557951482,0.0
fun1152,fun,15.949657625315783,114.49601116872756,148.5255285201436,23.34297300890839,9591,2924,28.8046368180368,20.3605232372647,0.0886241979510085,1.0
fun1153,fun,16.369088196026073,113.2184402733056,148.50863111599782,23.75245425272913,9879,3282,28.075103241878587,20.477838524686096,0.1170353279497082,3.0
fun1154,fun,16.62617630777747,113.8834763354553,148.49005327982286,24.8149045114863,8850,3277,28.43330116546656,19.703437012842404,0.1837280083141563,1.0
fun1155,fun,15.979833042653707,113.01466379938026,150.5961190036744,22.524002235128773,9585,2890,26.19908932203085,20.409265158468763,0.1259831182621528,3.0
fun1156,fun,16.92408793864065,118.1889106518516,147.18416958025958,23.34657416390562,8871,2679,18.142582187919203,29.366020568851216,0.073876781305286,2.0
fun1157,fun,15.737232331781634,112.06942022852306,150.85814642403724,22.055014811680067,9503,2634,26.35339428406882,20.48628608451516,0.118781945144338,1.0
fun1158,fun,16.338032105364285,111.3825394330032,149.1132945553634,23.979458156474347,8942,3016,28.64035331885913,20.04490712390284,0.1020616452337211,1.0
fun1159,fun,19.68488635667463,95.98560313667832,154.63512834650493,19.11168290142744,12300,4582,18.99000796280599,38.158536898615495,0.0796280599008502,2.0
fun1160,fun,16.864663653283703,108.04005505419396,147.55905031515397,23.77653002174015,9966,3408,28.83534003704684,18.78142365705213,0.1025403545911616,2.0
fun1161,fun,16.249975055708916,109.96107027638274,149.45410250440682,21.65164466025876,9750,2670,28.029000407707443,21.16178894935565,0.0407707443319802,0.0
fun1162,fun,16.118277173590062,111.43440601414392,148.41140726213823,19.58013906222143,10984,2667,23.51807685625385,23.88293083568936,0.0473836336929224,0.0
fun1163,fun,16.74940440265557,113.61559353260697,149.3683491629872,22.37540103554525,9755,3147,23.31148765662671,25.938062412985165,0.1901592583788923,0.0
fun1164,fun,18.01366120218579,112.26769929283188,145.00958293153326,22.39633558341369,7664,2704,14.81312373622073,38.16885178179288,0.0217424390668145,0.0
fun1165,fun,17.737829508392927,107.63500493701564,143.81522096885192,22.426019568534752,10548,3198,12.73187317150312,38.44231833636436,0.0253024432671779,1.0
fun1166,fun,18.455225893459204,108.90588334457182,144.67982130815915,22.152730950775453,9082,2866,14.01369122680598,34.06953702035669,0.0378310214375788,1.0
fun1167,fun,17.110899147907922,124.67041841536307,145.63304400356097,20.106829454406714,10484,2436,16.967723333163722,29.951322105191743,0.1526484506182262,2.0
fun1168,fun,19.258584546888045,99.6075132176978,144.70106669140154,21.58055838975976,8579,2562,12.987192663451657,37.88441774053285,0.0415052573325954,1.0
fun1169,fun,19.134810537712017,104.71167087693972,144.37631180079393,22.824972933958858,10755,3462,16.819837532196363,29.849267675613067,0.0335299407129684,1.0
fun1170,fun,19.11455099204589,101.82310239806026,144.26587125580295,21.059167923356693,10547,3250,13.957299372600431,32.96500920810313,0.074913381402753,0.0
fun1171,fun,19.77260288892217,102.01018338257116,144.45419519965148,20.275550351925723,11823,3322,13.637406769936891,35.96815834767642,0.0803212851405622,0.0
fun1172,fun,17.643436266659943,106.56581386258463,146.8638455621824,22.149368908167,12253,4132,16.77758922416079,32.384525640345764,0.1418571352813278,1.0
fun1173,fun,18.41784015373468,107.84267397536463,144.0748511482847,20.19185332199225,10164,2885,17.778821004627456,30.38528603044732,0.3353229159680773,0.0
fun1174,fun,18.06502990145587,109.09975863606316,146.69515888511384,21.193905944932126,10363,3249,17.898143029041595,32.45146183615727,0.1967543659956421,0.0
fun1175,fun,18.490074003124324,105.79002041072305,146.4002782243811,21.367404417382183,13481,4533,17.21743926712871,30.061871987337824,0.1666706635650734,1.0
fun1176,fun,18.333898173338515,108.23964244073066,147.95645549941702,19.359502526233968,10509,2863,17.024927000676378,30.783443588432284,0.1055809426398535,1.0
fun1177,fun,18.549414519906325,107.04569011105237,145.70914859862506,19.916899599607163,10605,3152,18.798595636212063,27.229587828847173,0.1426807958061465,0.0
fun1178,fun,17.175416774115256,125.54765408127663,149.27080078273136,20.803058113253343,10670,2701,17.790701410532403,28.798637663464323,0.3357645471194936,2.0
fun1179,fun,18.79931317420996,105.83104609859356,146.94951044001417,20.78303383010237,12135,3744,20.82206896551724,25.83034482758621,0.1668965517241379,1.0
fun1180,fun,20.44466103907406,105.13600208859108,145.85940301105214,17.873118092420153,9430,2333,17.57927745718368,27.25585883138812,0.0593769135138144,1.0
